Name,Rank,Location,Points
carp2,1001.0,"Houston, Texas",6012375
humphryd,1002.0,"Calgary, Alberta",6011220
AlanD,1003.0,"Chicago, Illinois",6010075
krell58,1004.0,Missouri,6009170
lou17,1005.0,"Rochester, New York",6008860
muggs16,1006.0,"Toronto, Ontario",6007900
GrandBlanc,1007.0,Michigan,6007710
FranklinGasGuy,1008.0,"Nashville, Tennessee",6006640
mike52,1009.0,Wisconsin,6006200
mk0532,1010.0,Kansas,6005540
pzini,1011.0,New Jersey,6004940
sit,1012.0,"Cleveland, Ohio",6004935
Teddy95,1013.0,"Dayton, Ohio",6003800
JWTH531,1014.0,Connecticut,6001570
Rigme,1015.0,Saskatchewan,6000685
alp,1016.0,"Portland, Oregon",6000525
UncleBill,1017.0,"Winnipeg, Manitoba",6000015
FlyNFool,1018.0,South Carolina,5997295
bruce725,1019.0,Florida,5996815
kool_rider,1020.0,"Calgary, Alberta",5996705
dragon65,1021.0,"Chicago, Illinois",5995610
aka,1022.0,Arizona,5994270
dupont941,1023.0,Florida,5993390
Garryhead,1024.0,"Nashville, Tennessee",5993295
Ferrari_1,1025.0,"London, Ontario",5993060
TOPitOFF,1026.0,New Hampshire,5992945
Gas Slave,1027.0,"Cincinnati, Ohio",5990305
Wizrd03,1028.0,Illinois,5989685
ItsMorph,1029.0,"Grand Rapids, Michigan",5988500
jb47,1030.0,"Shreveport, Louisiana",5987035
lion54,1031.0,South Carolina,5986570
MeterShock,1032.0,"London, Ontario",5986280
Nflooring17,1033.0,"Charlotte, North Carolina",5986250
Jarol,1034.0,Iowa,5985490
PhilMay,1035.0,"Detroit, Michigan",5979575
LexusLS400,1036.0,"Orange County, California",5978915
perspicacity,1037.0,"Oklahoma City, Oklahoma",5977015
outridin,1038.0,Illinois,5976710
DrNot,1039.0,Mississippi,5974185
Biogen,1040.0,"Ventura, California",5972945
Thor51,1041.0,"London, Ontario",5971765
nurdco,1042.0,"Colorado Springs, Colorado",5971570
heocon,1043.0,Hawaii,5971100
larrypm,1044.0,Newfoundland,5970955
bayamon,1045.0,"Orlando, Florida",5970115
MarMacMal,1046.0,"St. Louis, Missouri",5969575
my2002m,1047.0,"Tulsa, Oklahoma",5969465
papou,1048.0,"Tampa, Florida",5968830
gmcgas,1049.0,"Atlanta, Georgia",5968225
vikens,1050.0,"Twin Cities, Minnesota",5967950
soesbandit,1051.0,"Orlando, Florida",5967200
TakeItEasy,1052.0,"San Jose, California",5966950
ink62,1053.0,"Chicago, Illinois",5966195
Nuthouse,1054.0,Illinois,5965645
gasaddik,1055.0,"Wichita, Kansas",5964280
GAS1251,1056.0,Texas,5957880
montana920,1057.0,"Chicago, Illinois",5957515
Gas Cat,1058.0,"Tampa, Florida",5957295
Solly93,1059.0,"Raleigh, North Carolina",5954620
NASH,1060.0,"Edmonton, Alberta",5952510
jimnkelli,1061.0,"St. Louis, Missouri",5951085
bearone2,1062.0,"Phoenix, Arizona",5949545
Dennisjk,1063.0,"Detroit, Michigan",5948415
trevv,1064.0,"Evansville, Indiana",5948350
H82Bgouged,1065.0,Indiana,5946815
honda0105,1066.0,"Tallahassee, Florida",5946215
a351c,1067.0,Mississippi,5946160
OPTIMZD,1068.0,"San Diego, California",5946005
allanm,1069.0,"Virginia Beach, Virginia",5943095
radcaz,1070.0,"Houston, Texas",5941965
shoozoo,1071.0,"Orange County, California",5941155
380SE,1072.0,"Fort Worth, Texas",5939235
OHMS,1073.0,"Orange County, California",5938520
SilverFoxHMT,1074.0,"San Diego, California",5938400
WVUtailgater,1075.0,"Cleveland, Ohio",5937895
30mpg80,1076.0,"Lexington, Kentucky",5936795
Sub98,1077.0,"Toledo, Ohio",5935940
Martin62,1078.0,"Calgary, Alberta",5935855
jayrad1957,1079.0,"Los Angeles, California",5931690
kraby1,1080.0,"New Haven, Connecticut",5931165
MACEPAK,1081.0,"Omaha, Nebraska",5930075
ronnie13,1082.0,"Kansas City, Missouri",5928940
