Name,Rank,Location,Points
Mutter,1001.0,Ontario,6018455
mk9999,1002.0,"Rochester, New York",6018070
humphryd,1003.0,"Calgary, Alberta",6015270
krell58,1004.0,Missouri,6013020
muggs16,1005.0,"Toronto, Ontario",6012950
GrandBlanc,1006.0,Michigan,6010960
FranklinGasGuy,1007.0,"Nashville, Tennessee",6010690
AlanD,1008.0,"Chicago, Illinois",6010075
lou17,1009.0,"Rochester, New York",6008860
pzini,1010.0,New Jersey,6008790
sit,1011.0,"Cleveland, Ohio",6008360
Teddy95,1012.0,"Dayton, Ohio",6007050
JWTH531,1013.0,Connecticut,6006620
mike52,1014.0,Wisconsin,6006200
MDTDriver,1015.0,California,6005990
mk0532,1016.0,Kansas,6005540
Rigme,1017.0,Saskatchewan,6004735
FlyNFool,1018.0,South Carolina,6001345
alp,1019.0,"Portland, Oregon",6000525
kool_rider,1020.0,"Calgary, Alberta",6000330
UncleBill,1021.0,"Winnipeg, Manitoba",6000015
bruce725,1022.0,Florida,5999465
dragon65,1023.0,"Chicago, Illinois",5999460
aka,1024.0,Arizona,5997520
dupont941,1025.0,Florida,5997440
Garryhead,1026.0,"Nashville, Tennessee",5996945
Ferrari_1,1027.0,"London, Ontario",5996485
Gas Slave,1028.0,"Cincinnati, Ohio",5994955
TOPitOFF,1029.0,New Hampshire,5994545
Wizrd03,1030.0,Illinois,5993335
jb47,1031.0,"Shreveport, Louisiana",5991685
Nflooring17,1032.0,"Charlotte, North Carolina",5991300
MeterShock,1033.0,"London, Ontario",5990630
lion54,1034.0,South Carolina,5989995
Jarol,1035.0,Iowa,5989540
ItsMorph,1036.0,"Grand Rapids, Michigan",5988500
PhilMay,1037.0,"Detroit, Michigan",5983625
LexusLS400,1038.0,"Orange County, California",5982865
perspicacity,1039.0,"Oklahoma City, Oklahoma",5982265
outridin,1040.0,Illinois,5979960
DrNot,1041.0,Mississippi,5977835
heocon,1042.0,Hawaii,5977175
Biogen,1043.0,"Ventura, California",5976995
nurdco,1044.0,"Colorado Springs, Colorado",5976720
Thor51,1045.0,"London, Ontario",5975015
my2002m,1046.0,"Tulsa, Oklahoma",5974315
larrypm,1047.0,Newfoundland,5974205
papou,1048.0,"Tampa, Florida",5973680
MarMacMal,1049.0,"St. Louis, Missouri",5973625
bayamon,1050.0,"Orlando, Florida",5972440
soesbandit,1051.0,"Orlando, Florida",5972250
gmcgas,1052.0,"Atlanta, Georgia",5972075
vikens,1053.0,"Twin Cities, Minnesota",5972000
TakeItEasy,,"San Jose, California",5972000
Nuthouse,1055.0,Illinois,5970495
gasaddik,1056.0,"Wichita, Kansas",5967705
ink62,1057.0,"Chicago, Illinois",5966195
NASH,1058.0,"Edmonton, Alberta",5962360
GAS1251,1059.0,Texas,5961930
montana920,1060.0,"Chicago, Illinois",5961365
Gas Cat,1061.0,"Tampa, Florida",5960220
Solly93,1062.0,"Raleigh, North Carolina",5959270
jimnkelli,1063.0,"St. Louis, Missouri",5955110
bearone2,1064.0,"Phoenix, Arizona",5953595
trevv,1065.0,"Evansville, Indiana",5953000
Hitnmiss,1066.0,Iowa,5952025
a351c,1067.0,Mississippi,5951210
Dennisjk,1068.0,"Detroit, Michigan",5951015
honda0105,1069.0,"Tallahassee, Florida",5950265
OPTIMZD,1070.0,"San Diego, California",5949655
H82Bgouged,1071.0,Indiana,5946815
shoozoo,1072.0,"Orange County, California",5946205
radcaz,1073.0,"Houston, Texas",5945565
allanm,1074.0,"Virginia Beach, Virginia",5943495
SilverFoxHMT,1075.0,"San Diego, California",5942650
OHMS,1076.0,"Orange County, California",5942570
30mpg80,1077.0,"Lexington, Kentucky",5942245
WVUtailgater,1078.0,"Cleveland, Ohio",5941320
Martin62,1079.0,"Calgary, Alberta",5940080
Sub98,1080.0,"Toledo, Ohio",5939340
jayrad1957,1081.0,"Los Angeles, California",5935740
MACEPAK,1082.0,"Omaha, Nebraska",5935125
kraby1,1083.0,"New Haven, Connecticut",5934815
ronnie13,1084.0,"Kansas City, Missouri",5932990
dnelson989,1085.0,Washington,5932125
smol01,1086.0,"Columbus, Ohio",5930855
PurpleRiver,1087.0,"Denver, Colorado",5930840
therder,1088.0,"Lexington, Kentucky",5927295
madison8359,1089.0,"Cleveland, Ohio",5926980
gixxerman35,1090.0,"Las Vegas, Nevada",5926785
cjs,1091.0,"Oklahoma City, Oklahoma",5924540
BSpeedIII,1092.0,"Tulsa, Oklahoma",5922945
Xpoint,1093.0,Idaho,5921775
tramguy,1094.0,"Toronto, Ontario",5919470
OldMalibu,1095.0,Utah,5918610
Raudy,1096.0,"Riverside, California",5915025
Geo4564,1097.0,Nevada,5913970
KaliforniaKid,1098.0,California,5913875
