Name,Rank,Location,Points
mk9999,1001.0,"Rochester, New York",6016045
carp2,1002.0,"Houston, Texas",6014200
humphryd,1003.0,"Calgary, Alberta",6013245
krell58,1004.0,Missouri,6010995
AlanD,1005.0,"Chicago, Illinois",6010075
muggs16,1006.0,"Toronto, Ontario",6009925
GrandBlanc,1007.0,Michigan,6009335
lou17,1008.0,"Rochester, New York",6008860
FranklinGasGuy,1009.0,"Nashville, Tennessee",6008665
sit,1010.0,"Cleveland, Ohio",6006960
pzini,1011.0,New Jersey,6006765
mike52,1012.0,Wisconsin,6006200
mk0532,1013.0,Kansas,6005540
JWTH531,1014.0,Connecticut,6004595
Teddy95,1015.0,"Dayton, Ohio",6003800
Rigme,1016.0,Saskatchewan,6002710
alp,1017.0,"Portland, Oregon",6000525
UncleBill,1018.0,"Winnipeg, Manitoba",6000015
FlyNFool,1019.0,South Carolina,5999320
kool_rider,1020.0,"Calgary, Alberta",5998530
dragon65,1021.0,"Chicago, Illinois",5997635
bruce725,1022.0,Florida,5996815
aka,1023.0,Arizona,5995895
dupont941,1024.0,Florida,5995415
Garryhead,1025.0,"Nashville, Tennessee",5995120
Ferrari_1,1026.0,"London, Ontario",5995085
TOPitOFF,1027.0,New Hampshire,5993145
Gas Slave,1028.0,"Cincinnati, Ohio",5993130
Wizrd03,1029.0,Illinois,5991510
jb47,1030.0,"Shreveport, Louisiana",5989860
MeterShock,1031.0,"London, Ontario",5988605
ItsMorph,1032.0,"Grand Rapids, Michigan",5988500
Nflooring17,1033.0,"Charlotte, North Carolina",5988275
lion54,1034.0,South Carolina,5988095
Jarol,1035.0,Iowa,5987515
PhilMay,1036.0,"Detroit, Michigan",5981600
LexusLS400,1037.0,"Orange County, California",5980940
perspicacity,1038.0,"Oklahoma City, Oklahoma",5980240
outridin,1039.0,Illinois,5978335
DrNot,1040.0,Mississippi,5975810
Biogen,1041.0,"Ventura, California",5974970
heocon,1042.0,Hawaii,5974150
Thor51,1043.0,"London, Ontario",5973390
nurdco,1044.0,"Colorado Springs, Colorado",5973070
larrypm,1045.0,Newfoundland,5972580
my2002m,1046.0,"Tulsa, Oklahoma",5972490
papou,1047.0,"Tampa, Florida",5971655
MarMacMal,1048.0,"St. Louis, Missouri",5971600
bayamon,1049.0,"Orlando, Florida",5971240
gmcgas,1050.0,"Atlanta, Georgia",5970050
vikens,1051.0,"Twin Cities, Minnesota",5969975
TakeItEasy,,"San Jose, California",5969975
soesbandit,1053.0,"Orlando, Florida",5969225
Nuthouse,1054.0,Illinois,5968670
gasaddik,1055.0,"Wichita, Kansas",5966305
ink62,1056.0,"Chicago, Illinois",5966195
GAS1251,1057.0,Texas,5959905
montana920,1058.0,"Chicago, Illinois",5959540
Gas Cat,1059.0,"Tampa, Florida",5958720
Solly93,1060.0,"Raleigh, North Carolina",5956445
NASH,1061.0,"Edmonton, Alberta",5954335
jimnkelli,1062.0,"St. Louis, Missouri",5952285
bearone2,1063.0,"Phoenix, Arizona",5951570
trevv,1064.0,"Evansville, Indiana",5950650
Dennisjk,1065.0,"Detroit, Michigan",5949815
a351c,1066.0,Mississippi,5949185
honda0105,1067.0,"Tallahassee, Florida",5948240
OPTIMZD,1068.0,"San Diego, California",5947830
H82Bgouged,1069.0,Indiana,5946815
shoozoo,1070.0,"Orange County, California",5944180
radcaz,1071.0,"Houston, Texas",5943365
allanm,1072.0,"Virginia Beach, Virginia",5943295
SilverFoxHMT,1073.0,"San Diego, California",5940825
OHMS,1074.0,"Orange County, California",5940545
30mpg80,1075.0,"Lexington, Kentucky",5940020
WVUtailgater,1076.0,"Cleveland, Ohio",5939920
Martin62,1077.0,"Calgary, Alberta",5938880
Sub98,1078.0,"Toledo, Ohio",5937140
jayrad1957,1079.0,"Los Angeles, California",5933715
kraby1,1080.0,"New Haven, Connecticut",5932990
MACEPAK,1081.0,"Omaha, Nebraska",5932100
ronnie13,1082.0,"Kansas City, Missouri",5930965
dnelson989,1083.0,Washington,5930100
smol01,1084.0,"Columbus, Ohio",5929530
PurpleRiver,1085.0,"Denver, Colorado",5927815
therder,1086.0,"Lexington, Kentucky",5925695
gixxerman35,1087.0,"Las Vegas, Nevada",5924960
madison8359,1088.0,"Cleveland, Ohio",5924955
cjs,1089.0,"Oklahoma City, Oklahoma",5922915
BSpeedIII,1090.0,"Tulsa, Oklahoma",5920920
Xpoint,1091.0,Idaho,5919950
tramguy,1092.0,"Toronto, Ontario",5917845
OldMalibu,1093.0,Utah,5915785
Raudy,1094.0,"Riverside, California",5913000
Geo4564,1095.0,Nevada,5912145
